"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"mod(mdg4)","FBgn0002781","Non-protein Phosphatase","","",""
"mop","FBgn0036448","Protein Phosphatase","","",""
"mRNA-cap","FBgn0030556","Protein Phosphatase","","",""
"mtm","FBgn0025742","Protein Phosphatase","","",""
"mts","FBgn0004177","Protein Phosphatase","","",""
"NitFhit","FBgn0024945","Non-protein Phosphatase","","",""
"Nsf2","FBgn0266464","Non-protein Phosphatase","","",""
"NTPase","FBgn0024947","Non-protein Phosphatase","","",""
"Nurf-38","FBgn0016687","Non-protein Phosphatase","","",""
"Ocrl","FBgn0023508","Non-protein Phosphatase","","",""
"Orc1","FBgn0022772","Non-protein Phosphatase","","",""
"Orc4","FBgn0023181","Non-protein Phosphatase","","",""
"Orc5","FBgn0015271","Non-protein Phosphatase","","",""
"pch2","FBgn0051453","Non-protein Phosphatase","","",""
"Pdp","FBgn0029958","Protein Phosphatase","","",""
"Pex6","FBgn0033564","Non-protein Phosphatase","","",""
"Pez","FBgn0031799","Protein Phosphatase","","",""
"Pgam5","FBgn0023517","Protein Phosphatase","","",""
"Pgam5-2","FBgn0035004","Non-protein Phosphatase","","",""
"Phlpp","FBgn0032749","Protein Phosphatase","","",""
"Plip","FBgn0039111","Protein Phosphatase","","",""
"pn","FBgn0003116","Non-protein Phosphatase","","",""
"Pp1-13C","FBgn0003132","Protein Phosphatase","","",""
"Pp1-87B","FBgn0004103","Protein Phosphatase","","",""
"Pp1-Y1","FBgn0261399","Protein Phosphatase","","",""
"Pp1-Y2","FBgn0046698","Protein Phosphatase","","",""
"Pp1alpha-96A","FBgn0003134","Protein Phosphatase","","",""
"Pp2A-29B","FBgn0260439","Protein Phosphatase","","",""
"Pp2B-14D","FBgn0011826","Protein Phosphatase","","",""
"Pp2C1","FBgn0022768","Protein Phosphatase","","",""
"Pp4-19C","FBgn0023177","Protein Phosphatase","","",""
"PpD3","FBgn0005777","Protein Phosphatase","","",""
"PpD5","FBgn0005778","Protein Phosphatase","","",""
"PpD6","FBgn0005779","Protein Phosphatase","","",""
"Ppm1","FBgn0035143","Protein Phosphatase","","",""
"PpN58A","FBgn0025573","Protein Phosphatase","","",""
"PpV","FBgn0003139","Protein Phosphatase","","",""
"PpY-55A","FBgn0003140","Protein Phosphatase","","",""
"primo-1","FBgn0040077","Protein Phosphatase","","",""
"primo-2","FBgn0040076","Protein Phosphatase","","",""
"PRL-1","FBgn0024734","Protein Phosphatase","","",""
"Pten","FBgn0026379","Protein Phosphatase","","",""
"PTP-ER","FBgn0016641","Protein Phosphatase","","",""
"Ptp10D","FBgn0004370","Protein Phosphatase","","",""
"Ptp36E","FBgn0267486","Protein Phosphatase","","",""
"Ptp4E","FBgn0004368","Protein Phosphatase","","",""
"Ptp52F","FBgn0034085","Protein Phosphatase","","",""
"Ptp61F","FBgn0267487","Protein Phosphatase","","",""
"Ptp69D","FBgn0014007","Protein Phosphatase","","",""
"Ptp99A","FBgn0004369","Protein Phosphatase","","",""
"Ptpmeg","FBgn0261985","Protein Phosphatase","","",""
"puc","FBgn0243512","Protein Phosphatase","","",""
"rdgC","FBgn0265959","Protein Phosphatase","","",""
"Reg-2","FBgn0016715","Non-protein Phosphatase","","",""
"Rrp1","FBgn0004584","Non-protein Phosphatase","","",""
"Sac1","FBgn0035195","Non-protein Phosphatase","","",""
"Sbf","FBgn0025802","Protein Phosphatase","","",""
"spag","FBgn0015544","Protein Phosphatase","","",""
"Srp54k","FBgn0010747","Non-protein Phosphatase","","",""
"ssh","FBgn0029157","Protein Phosphatase","","",""
"Ssu72","FBgn0031054","Protein Phosphatase","","",""
"stg","FBgn0003525","Protein Phosphatase","","",""
"Synj","FBgn0034691","Non-protein Phosphatase","","",""
"twe","FBgn0002673","Protein Phosphatase","","",""
"twin","FBgn0011725","Non-protein Phosphatase","","",""
"tws","FBgn0004889","Protein Phosphatase","","",""
"Ublcp1","FBgn0027526","Protein Phosphatase","","",""
"veil","FBgn0034225","Non-protein Phosphatase","","",""
"wdb","FBgn0027492","Protein Phosphatase","","",""
"wun","FBgn0016078","Non-protein Phosphatase","","",""
"wun2","FBgn0041087","Non-protein Phosphatase","","",""
