"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"Sps2","FBgn0032224","Non-protein Kinase","","",""
"sqa","FBgn0259678","Protein Kinase","","",""
"Src42A","FBgn0264959","Protein Kinase","","",""
"Src64B","FBgn0262733","Protein Kinase","","",""
"SRPK","FBgn0026370","Protein Kinase","","",""
"srpk79D","FBgn0025702","Protein Kinase","","",""
"Ssl","FBgn0015300","Protein Kinase","","",""
"Stam","FBgn0027363","Protein Kinase","","",""
"sti","FBgn0002466","Protein Kinase","","",""
"Stlk","FBgn0046692","Protein Kinase","","",""
"Strn-Mlck","FBgn0265045","Protein Kinase","","",""
"Taf1","FBgn0010355","Protein Kinase","","",""
"Tak1","FBgn0026323","Protein Kinase","","",""
"Takl1","FBgn0046689","Protein Kinase","","",""
"Takl2","FBgn0039015","Protein Kinase","","",""
"Tao","FBgn0031030","Protein Kinase","","",""
"tefu","FBgn0045035","Protein Kinase","","",""
"Tie","FBgn0014073","Protein Kinase","","",""
"tkv","FBgn0003716","Protein Kinase","","",""
"tlk","FBgn0086899","Protein Kinase","","",""
"tor","FBgn0003733","Protein Kinase","","",""
"Tor","FBgn0021796","Protein Kinase","","",""
"trbl","FBgn0028978","Protein Kinase","","",""
"trc","FBgn0003744","Protein Kinase","","",""
"Trpm","FBgn0265194","Protein Kinase","","",""
"twf","FBgn0038206","Protein Kinase","","",""
"Unc-89","FBgn0053519","Protein Kinase","","",""
"vari","FBgn0250785","Non-protein Kinase","","",""
"Wee1","FBgn0011737","Protein Kinase","","",""
"wit","FBgn0024179","Protein Kinase","","",""
"wnd","FBgn0036896","Protein Kinase","","",""
"Wnk","FBgn0037098","Protein Kinase","","",""
"Wsck","FBgn0046685","Protein Kinase","","",""
"wts","FBgn0011739","Protein Kinase","","",""
"yata","FBgn0260990","Protein Kinase","","",""
